path,label,features_pca_array
s3://p8-data-bastien/Test/Pomegranate/63_100.jpg,Pomegranate,"[ 7.01960023e+00 -1.38099594e+00  3.95057424e+00  6.70426733e+00
 -1.45750221e+01 -1.42663406e+00 -3.62527532e+00  1.14222859e+00
  2.15540747e+00 -2.13718614e-01 -7.54270872e-01  5.75423009e-01
 -1.90377851e+00  6.02705143e+00  9.63882397e-01  2.47582551e+00
 -4.74280005e-01  5.32041692e-01 -4.50509165e+00  9.67765813e-01
 -1.38407332e+00  5.71741966e-01 -4.44599477e-01  9.76678782e+00
  5.57511946e+00  2.17688002e+00 -2.20138836e+00 -4.62953931e+00
 -2.40470590e+00  5.69700964e-01  4.97675253e-02  2.04581164e+00
  2.01275160e+00  8.85617746e-01  1.29846809e+00  5.25242118e-01
  4.85403057e-01 -1.71733215e-01 -4.41746952e-01  9.10389693e-01
  5.07498502e-01 -3.69582404e-01 -1.60815663e+00  1.76748465e-01
 -1.29584288e+00 -6.99593838e-01  5.72417262e-01  9.90366777e-01
 -8.44511079e-02  2.99392116e-01  1.32523521e-02  1.64832890e+00
  3.26360859e-02  6.87326313e-01 -6.55534151e-01  8.25508631e-01
  7.35298087e-01 -8.74099733e-01  8.93958321e-02 -6.94893478e-01
  4.61106001e-02 -9.93033147e-01  3.48416475e-01 -7.71432615e-02
 -7.57191654e-01  1.38976805e+00  1.05369180e+00  5.95462251e-02
  2.50970907e-01 -9.43667517e-01  1.14103955e-01  5.48039596e-01
 -3.01830247e-01 -3.66966196e-01 -1.74075500e-01  8.77579608e-01
 -9.47826989e-01 -5.53182548e-01 -2.10817746e-01  9.92082383e-01
  4.26619615e-01  6.85144688e-01 -1.95171607e+00 -9.32263644e-01
  3.85890323e-01  3.36910195e-02 -1.18733918e+00  1.28000140e+00
  4.01067143e-01 -1.52905057e+00  1.90652782e+00  6.34912949e-01
  1.68931045e+00 -3.11035009e-01  1.01496267e+00 -1.68243581e+00
  7.31594035e-01  4.73960594e-01 -1.01561117e+00 -1.93163727e-01
 -1.49173228e-01 -2.34108235e+00 -1.28341557e+00  3.15264180e-01
 -3.68780275e-01  1.34657499e+00 -4.36797691e-01 -5.62786470e-01
  7.78944328e-01  2.17385762e+00  9.85811134e-01 -6.10587986e-01
 -2.03226945e+00  4.86711854e-01 -2.47742378e+00  4.85633426e-01
 -1.08821396e-01  1.99894370e+00  1.16566491e-01  9.27184484e-01
 -3.77639455e-02  5.25508978e-01  2.49839103e-01  5.33298601e-01
  6.70209480e-01  1.42690976e+00]"
s3://p8-data-bastien/Test/Apple Red 3/r_74_100.jpg,Apple Red 3,"[  5.53064586  -6.14571353   0.60129219   4.9626529  -13.98427243
   2.77214995  -2.17215864   4.92950878   4.12023307   4.35663438
   3.69201702   0.45525657  -5.54761286  -6.33290316  -0.38031003
  -0.93852276  -2.37515308   2.40029878   4.3172225   -1.45593104
  -3.5183617    1.01373833  -1.20569944  -4.75788363  -2.24418728
   2.09508288   1.5196442    1.18746451   0.64643446   1.10702599
  -2.11165295  -3.3682733   -0.04438329   1.7648665   -0.08289177
  -0.0306956    1.96076725  -0.05480917  -4.00683033  -3.05475703
  -2.27365058   0.40681481   0.04234017  -2.09149324   0.90376039
  -0.37603994  -0.21311047   0.55628969   1.65548151  -0.69435237
  -0.32593745  -0.56643971   1.23492521   1.71256755  -2.09838041
   0.31721336  -0.62786942  -2.84094728  -0.57267921  -1.79666606
   1.3126044   -2.12984677  -1.01099716  -0.64715588  -1.57945743
  -1.95997451   0.11425909  -2.54219272   1.10527665  -0.19515735
  -0.04435985   1.47037808  -1.66198057   0.26752413   0.38223388
  -1.05151447   1.23636055  -0.50491806  -0.70244433  -0.50087983
  -0.72187471  -0.9394092    1.68433973   0.30923849   0.20608209
  -0.16460531  -0.30963194  -0.1611846    1.19127306   0.19350833
  -0.17751254   0.01608347  -0.7270357    0.13918366  -0.45151421
  -0.79985318  -0.5821398   -0.69488026   1.72021117   0.35021647
   1.4894999    0.53665556   0.22832344   0.38352493  -0.03584565
  -0.46830062   1.12681441  -0.964217     0.08468585  -0.92283911
  -0.30019179  -0.32389724  -1.50712298  -0.19305603   1.70678793
   1.19920181   1.13102384   1.67125426  -0.29925573  -0.38458471
  -0.53768282   0.04512353   0.57994084  -0.51210802  -1.5894925
   0.56649226]"
s3://p8-data-bastien/Test/Pear/72_100.jpg,Pear,"[  1.61448196 -14.73607747  -4.53755633   3.72126722  10.27994466
  -5.35285512 -17.57690603   6.34265782  -6.6675595    0.9070068
  -0.9859175    7.49272204  -8.87267713   5.50145941  -3.46195144
   4.1286817    1.48270327  -2.64746042   0.39800456   0.95399657
   0.70651299   1.28018832   0.66183331  -1.67662927  -0.36462219
   0.2339803   -2.91605606   2.84810588  -0.34157126  -0.30855134
  -2.33652653   1.80805132   0.43406992  -3.13809768   1.81869053
  -0.04936936   0.86894632   1.83806464  -0.61734597  -0.09280652
  -0.79056495  -0.1797982   -0.74136658   1.37570487  -0.37144477
  -0.63560548  -0.2773423   -0.76472549   1.99563055   1.01356939
  -0.27585997  -0.88701369  -0.65580505   0.16957724  -0.79819295
   0.54790474   0.77907107  -0.14253483   0.27621188  -0.55576628
   0.58405751   0.10288961  -0.36478781  -0.49948256   1.35723454
  -0.50079607   0.88107933  -0.09518784   0.2240529    0.0408314
   1.04955222   0.22559944  -0.35612343   0.60417906   0.21345283
  -0.2157023    0.21900292  -0.36873964   0.15401648   0.26522196
  -0.2344472    0.2713089   -0.47073734  -0.28690696  -0.29489395
   0.20180523   1.33096019   0.61268278  -0.7578436    0.12686747
   0.43209619  -0.39666442   0.66811936  -0.71261198  -0.71002245
   0.55045373   0.79956814  -1.15689999  -0.04909714   0.54521183
   1.14760138   0.48330137  -0.59180367  -1.66352109   2.37676883
  -1.3382964   -1.02350111   0.46077069  -0.41469364   0.52789879
   0.07363978  -0.71627628   0.35669473  -1.48795987   0.74916094
  -0.91268504   0.41195925  -0.25101026   1.97845136  -1.23107163
  -1.10238868  -0.35979048   0.82379715  -0.62452433   1.67164096
   1.2878069 ]"
s3://p8-data-bastien/Test/Tomato Cherry Red/22_100.jpg,Tomato Cherry Red,"[ 9.17633270e+00  2.49360935e+01  9.52987825e+00 -4.83394632e+00
  7.34979644e+00 -7.67439718e-01 -9.94038721e+00  5.64630318e-01
  5.78273530e+00 -2.25266290e+00  2.50877203e+00  4.52589904e-01
 -2.14971812e+00 -5.34508961e+00 -3.93400187e-01  1.55465608e-01
  2.21808379e+00 -2.04931811e-01 -1.13551550e+00  3.52759775e-01
  1.63059293e+00  1.50074237e-01  2.99644583e-01  2.91764591e+00
 -2.98613857e+00  6.18326878e-01  2.08918848e-01 -7.96546602e-01
 -1.59289314e-01  5.09750762e-01  9.41468359e-02 -4.98904056e-01
 -3.26075272e-01  6.64556218e-01 -2.44420690e-01 -2.07377014e+00
  1.98935932e+00  7.09906672e-02  1.74946992e+00  2.09073979e+00
  1.20439912e+00 -6.59978320e-03 -4.58502324e-02  3.17495707e+00
  8.45101085e-03 -5.09994523e-02  6.26224730e-01 -1.50453661e-01
  2.42966139e+00 -3.06622263e+00 -5.35244059e-01 -6.66942615e-02
  2.32189051e+00  8.72607484e-01  2.40745655e+00 -6.54405188e-01
  4.41917139e-01 -1.66515708e-01  3.82696855e-01 -2.25145349e+00
 -2.24731621e+00  2.42340518e-01  1.02045276e+00 -1.33185458e+00
 -1.09973468e+00  5.68004192e-01  1.31498511e+00 -1.02251257e+00
  2.09082543e+00 -2.45298047e-01 -1.16585418e+00 -2.52091243e-01
 -3.62337190e-01  1.72832835e+00  1.90064340e+00 -1.90888591e+00
  1.72161053e-02 -6.32564733e-01 -5.59665133e-01  9.03386312e-01
  9.55069931e-01 -1.44675487e-01 -8.54687219e-02 -1.73878036e+00
 -7.18760568e-01  4.46458204e-01  5.45419834e-02  5.98278485e-01
 -4.63672035e-02 -2.72359792e-01  9.43631398e-01 -2.49182929e+00
  3.50890150e-01  1.13662985e+00 -1.75712604e-01  1.48646974e+00
 -1.50674919e+00 -1.68010271e+00  2.52785829e-01  5.11506217e-01
  1.94770748e+00  4.86158127e-01  1.16511118e+00 -6.89305901e-01
 -1.06277371e+00 -7.58206527e-01 -2.06152137e+00 -2.82559000e+00
 -1.15946621e+00  1.26849186e+00 -6.04343259e-01  1.40579871e+00
  1.04805927e+00 -2.23045004e+00  9.33177641e-01  5.47458598e-01
 -4.03645686e-01 -1.64961288e+00 -3.12412038e+00  2.23658805e+00
 -9.44914756e-01 -3.94281785e-01 -2.00186728e+00  1.49444140e+00
  1.66314779e+00 -4.57898515e-01]"
s3://p8-data-bastien/Test/Cherry 2/80_100.jpg,Cherry 2,"[ 6.76724415 15.1174758   6.92208775 -0.56664224 -0.24893962 -3.8891742
  2.82183099  1.26928875 -4.01361549  6.26844965 -1.34271946  0.39211523
  3.92799071  6.75225554 -5.7061639  -1.41410416  6.25205778 -0.87181159
  2.80475981 -5.5352679  -2.88074561 -0.66021795  7.23095695 -1.20241714
  2.61964366  6.9246616   0.66960545  1.7558147   1.59210297 -0.62697263
  3.03190378 -0.3386023  -3.97582966 -2.70895709  2.96130712  0.25229664
 -1.88011235 -1.64292538  0.9812976  -2.86594606 -1.36821063 -1.07084165
 -6.35835253 -2.27187759 -0.54337179 -1.40653643 -0.10911321 -2.0972889
 -2.41765866  2.64120609  1.51551368 -1.02969475  0.13426666  0.43297153
 -1.60720155  2.07412251 -0.57824959 -0.63856948 -1.59046827  1.50327193
  2.16999279 -0.71471907 -0.44179669  1.18862355  0.54879043  0.71541733
  0.5392277   2.32707839  1.7396822  -0.02344709 -1.26689115  0.85625758
 -0.26398353  2.01862478 -1.30411743 -1.2420151   1.00784628  1.78135172
 -1.21743463 -1.25746501 -0.9261592  -0.12036502 -1.30018344  0.48624798
  0.44903515 -0.42943289  0.01670157 -2.46400191 -0.76913238  1.15472163
 -0.49645364 -0.56492031  0.7598585   0.84924187 -0.55222538  0.49263802
 -0.77549026 -0.32642527 -1.04844699  0.96435098  1.02298881 -0.05356735
 -1.74223907  1.55861332  0.74154129  0.6730823   0.57834251 -0.98781402
 -0.80865734  0.76544677 -0.31904028 -0.81337153  1.49817975 -1.86716797
  1.16677608  1.35367506  1.40514524  0.2033444   1.39173438 -0.56904663
  0.53832523  0.65711324 -1.53583366  0.24942065  0.97821373  0.29629709]"
s3://p8-data-bastien/Test/Tomato Cherry Red/r_276_100.jpg,Tomato Cherry Red,"[ 1.03380496e+01  2.48694878e+01  8.46499625e+00 -4.67189154e+00
  5.55220810e+00 -1.21015791e+00 -9.48336190e+00  9.01775952e-01
  6.72489544e+00 -1.60581702e+00  7.68368968e-01 -7.69146507e-01
 -1.33053304e+00 -2.93166801e+00  3.04112788e+00 -5.25120697e-01
 -1.17943460e+00  1.25475874e+00 -5.45915125e-01  2.06963255e+00
  8.68983162e-01  3.81622606e-01 -2.30131271e+00 -1.77287838e+00
 -1.46976956e+00 -2.78643853e-01 -2.62954024e-01  5.38438356e-01
 -1.61813474e-01  1.88698194e+00  2.00680580e-02  2.02557651e+00
  3.21323901e+00 -8.03916594e-01  8.87958957e-01 -8.57402751e-01
 -2.49701451e+00 -6.21651802e-01  6.74597465e-01 -2.82328418e-01
 -3.39969071e-01  7.06081614e-01  1.24265372e-01 -1.42300190e+00
  1.19984052e+00  2.01616647e-02  5.03901209e-01  5.15832544e-02
 -8.83013881e-01  8.21364250e-01  9.75529425e-01  4.04596208e-02
  1.23836674e-01  6.03093394e-01 -1.68902062e-01 -3.49601478e-01
 -3.83857580e-01  6.40344862e-01 -4.03232905e-01  6.17909501e-01
  1.70452578e+00 -1.77108685e-01 -6.17319908e-01  1.15043780e+00
 -3.18120120e-01  4.86157272e-01 -5.93859621e-01  6.87393765e-02
 -5.14687300e-01 -2.14656027e-01 -4.82683823e-01  1.50902916e-01
  3.04443803e-01 -2.68351053e-01 -5.75592109e-01 -1.34386054e-01
  2.06885736e-01  4.93561291e-01  2.85926135e-01  2.20393983e-01
 -2.03621006e-01  4.97446846e-01  3.08860650e-01 -1.86096583e-01
 -1.42600464e-01 -2.47691836e-01  9.74082937e-02  8.13996134e-02
  2.15862125e-01  2.07473102e-01 -1.74297129e-01 -1.76081974e-01
 -5.20203542e-01 -5.97974927e-01  8.64184780e-02 -5.22556637e-02
  2.08357112e-01  6.45667204e-02 -1.64830169e-01 -3.47779421e-01
 -3.85872937e-01 -9.34498476e-01  1.51329761e-01  1.72981809e-01
 -1.93343771e-01  2.62134659e-01 -1.24575732e-01  3.68008333e-02
  2.55512802e-01  1.65261741e-02 -4.07929648e-01  2.90844417e-01
 -5.73108625e-01 -3.61207432e-01 -4.24906370e-01 -9.47786377e-02
 -6.65876321e-01 -6.10813259e-01  6.93514792e-01 -4.97325670e-01
 -6.06754797e-01 -1.80945505e-01  1.08089045e+00 -8.51534217e-01
  3.90476726e-02 -3.82747862e-01]"
s3://p8-data-bastien/Test/Apple Red 2/r_90_100.jpg,Apple Red 2,"[ 7.06406158e+00 -3.94130589e+00  2.41968002e+00  4.13237570e+00
  2.34096840e+00  5.02136763e-01  1.28966221e+00 -7.15496978e-01
 -5.40564760e+00 -5.61804346e-02  8.54134505e-01 -1.70262572e+00
  4.24604931e+00 -4.40280378e+00  1.11662282e+01 -1.31865273e+00
  2.71232589e+00 -4.91421361e+00 -2.12382742e+00  1.23540025e+00
 -1.48262266e-02 -2.81707869e+00  2.63507665e+00  1.44660083e+00
 -2.39496482e+00 -2.08863756e+00 -2.51334227e+00  2.70355606e+00
 -1.65765247e+00 -1.31214452e+00 -5.47724216e+00  2.95544367e+00
  2.29929439e+00 -1.72891462e+00  1.59874705e+00 -3.77760957e+00
  3.39051097e+00 -6.78600824e-01  2.28995365e+00 -1.12460037e+00
 -1.19356959e+00 -1.53429036e+00  1.32187615e-01  4.23649271e+00
 -2.12743220e+00 -1.12918835e-01 -1.15258252e+00  5.66276961e-01
 -5.71260044e+00 -4.55674832e+00 -1.99152093e+00  7.17692127e-01
 -2.76377892e-01 -9.91134138e-01 -1.31450128e+00  1.67994602e+00
  3.11205473e-01 -2.23354138e+00 -4.53742325e-01  9.09019349e-02
 -2.95446345e+00 -3.04726851e+00 -7.87333014e-01  7.13738240e-01
 -1.52136432e+00 -9.33813399e-01 -6.55604923e-01 -6.76738655e-01
  7.20882955e-01  4.85110066e-01 -1.27229710e+00  2.46714680e-01
 -3.41410493e-01 -6.22447682e-02  1.66270784e+00  1.06933326e+00
  5.10335548e-01  1.77264820e+00 -8.81453174e-01 -7.33895951e-01
  1.10632283e+00  1.87437445e-01  9.50293164e-01  9.18043961e-01
 -1.97973363e-01  6.75379148e-02 -6.49101611e-01  1.93721115e-01
 -9.99377903e-02  4.35493166e-01  6.04096528e-01  2.74967955e-02
 -1.03040200e-01  4.96225420e-01  9.38794673e-01  3.88567854e-02
  2.57909248e-01  7.18327395e-02 -6.41128555e-01 -7.00023336e-01
  1.44735793e-01 -2.05790157e-01  8.87627322e-01 -2.32702713e-01
  8.52132085e-01  2.72136938e-01 -8.39777349e-02  5.53522573e-01
 -4.96897615e-01 -7.18805322e-01 -2.01178422e-01 -1.49076716e-01
 -6.42150856e-01  2.59273435e-01  5.96195578e-01 -6.26535872e-03
  6.82099401e-01 -1.10764507e-01 -5.01726942e-01  5.66677551e-01
  1.11293362e-01  4.56695304e-01  2.78572359e-03  4.21784491e-01
  4.36469530e-01 -5.22296047e-01]"
s3://p8-data-bastien/Test/Pomegranate/r_251_100.jpg,Pomegranate,"[ 7.32953764 11.40836723  2.58717919 -0.78617804 -2.12357825 -1.87503827
  3.12147273  1.37291272  0.39227861  2.81626524 -1.3362648   0.08450032
  1.07623553  7.49215498  3.77611561  0.20782615 -1.81032139  1.56451324
  4.18451861  1.56330763 -0.73907801  0.3993653  -1.82064364 -1.68737155
 -0.05453053  1.41607743  1.81761845 -1.40361558 -0.33122344  0.71952507
 -3.02144163 -0.19400025 -1.47171793  2.23298519  1.23391663 -0.89295126
  4.89991866  6.21273005 -2.84064945  1.87329262  1.08553818  1.70317177
  4.14309601 -3.00266269 -1.49623848 -0.10788479 -1.1234137   1.6006802
 -2.78711346  1.81510396 -0.47892914 -0.66759617 -0.90845895 -0.35989919
 -3.86016547 -2.02513379  1.67158899  4.23040102 -1.73635682  1.31363345
  0.42014384  1.08392415 -1.1154363   2.19212683 -1.26018569 -1.0487335
 -1.41558828  1.52497619  1.02157751 -0.23587812  3.20197448 -2.37973438
  1.55958855 -0.39224141 -0.34982616 -0.53475365  0.18023525  4.21713822
 -0.43783699 -0.55892946 -0.50448321  0.75298449 -1.2223532  -0.45482477
 -1.21512377 -0.36355368  1.03968583  0.83296508  0.01160334 -2.40500649
 -1.25422296 -2.2090386  -0.24130465 -0.74346458 -0.67765109 -1.77760029
 -0.64005495 -0.30373399 -0.64568553 -1.66158402  1.22270592  0.68971385
  2.07772233 -0.52071552  0.23445661  1.063912   -0.1373312   0.81539484
 -1.5467365   0.49957837  0.73675525 -0.83297772 -0.58252253  0.58112318
 -1.51605233 -0.26653672 -0.20773455 -1.34483269 -0.83199174 -0.18824634
  0.15414189  0.06811946 -0.87411729 -0.0763472   0.33075803 -0.44633553]"
s3://p8-data-bastien/Test/Lemon/48_100.jpg,Lemon,"[  6.17337479 -10.64203428  -2.1673429    4.96928503  11.19585612
  -0.39000937  -0.27882897  -3.44768628   5.50890286  -6.42297278
  -0.38752717  -1.24189381   0.65413427  -1.13723852  -1.76540265
   1.78326823   1.59407376   1.30413269   2.07767485  -7.53193875
  -3.23535688   2.32031465   1.0999474   -0.37586166   3.6238768
  -2.09663113   3.33568234  -3.98722951   0.14613217   0.47038488
   0.28244231  -1.25716757   1.88312889   1.28668211  -0.86045528
  -2.06188543   2.73173614  -1.49080419   1.51907543  -0.38866396
   0.60946216  -0.88361806   0.83661178  -1.20038142   1.29700344
   0.5543619    1.63723432  -1.16931341   0.7720128    1.07978054
  -0.63842799   0.07513141  -2.84945673   0.93487057   0.75956297
  -0.10132411  -0.05414553   1.00635093   0.47311578   1.32192725
   0.62308531  -1.93060689   1.91928685  -0.32063543  -0.1534411
  -0.35767539   0.3970147   -0.22401668  -0.83372302   0.15875916
  -0.47206241  -0.10393066  -1.39924342   0.80872173   1.23647481
   0.21334322   0.47016389   0.97832631   0.9719966   -0.35822966
   2.00743267   2.29627775  -0.22760021  -1.97729223   0.18575046
   0.69006062  -1.83512743   1.27606173   0.80698162   1.81238513
  -1.21228987   0.3174075   -0.95425417  -0.26779622   0.17389603
  -2.44336496   0.60750943  -1.03546068   0.61181651   0.58208048
  -0.2691519    4.37764267  -0.90880891  -1.11686527  -0.45629871
  -0.76726348   1.03390151   1.17208392  -0.56596211   0.58712446
  -1.46639565   0.46228297  -0.99357459  -0.77055775  -0.59346058
  -0.25687757  -2.18106789  -0.09864502  -0.09691102  -1.13215601
  -0.63746968   1.08440689   0.896921     0.26895448   0.6607386
   0.12844465]"
s3://p8-data-bastien/Test/Cherry 2/101_100.jpg,Cherry 2,"[ 9.06322589e+00  1.43514504e+01  5.90578095e+00 -6.75988574e-01
 -1.74851628e-01 -8.23924942e-01  3.30530012e+00 -7.25987666e-01
 -4.37471495e+00  2.75087624e+00 -3.13458912e+00  6.69494070e-01
  1.48454564e+00  5.59588682e+00 -5.47328398e-02 -1.41962232e+00
  3.27424605e+00 -1.17238327e+00  5.87036051e+00 -3.02918096e+00
 -3.48878915e+00  4.94883463e-01  5.13019099e+00 -4.23023983e+00
 -7.67503128e-02  4.86908998e-01 -4.46152053e-01  5.17241371e-01
 -1.26054669e-01 -8.07035718e-01  1.39329715e+00  5.85667393e-01
 -3.24243165e-01 -2.32611631e+00 -5.98001566e-01  1.22271735e+00
  7.07271733e-01  2.00220394e+00  7.22358125e-01 -1.25807159e+00
 -8.16154193e-01  3.88329719e-01  1.39097609e+00 -1.07423753e+00
  1.36816035e+00  4.91149375e-01  3.32563140e-01  1.09483261e+00
 -4.34735311e-02  9.30026214e-01 -9.08779521e-02  5.11387519e-01
  2.53594341e+00  8.54156481e-02 -1.55879469e+00  6.37111391e-01
 -1.86110786e+00  1.27249118e+00 -1.07187923e+00  1.19357200e+00
  2.43564263e+00 -8.31156984e-02 -2.47978955e+00  3.61173107e+00
 -3.77702097e-01 -1.25745590e+00  1.60147805e-01  7.92030415e-01
  1.58615506e+00  3.08609976e-02 -4.25586140e-01 -1.87456411e+00
 -1.21553396e+00  1.23055115e-02 -1.17130228e+00 -9.99692348e-01
 -1.71814186e+00 -5.00264636e-01  2.56374153e+00 -9.11754741e-04
  1.19637396e-01  2.37395293e+00  1.05801109e+00 -4.21546794e-01
  3.97373392e-01  6.48347222e-01 -5.31668528e-01 -5.00853293e-01
  1.00754928e+00  2.41906101e-01  1.51437984e+00  3.09770056e+00
 -6.80993491e-01  2.48517666e+00  1.16468707e+00  2.18145170e+00
  3.79726109e+00 -3.84749688e-01 -3.60540767e-01  1.45593471e+00
  1.16878360e+00  2.35050954e-02  8.53568210e-01  6.26727637e-01
 -1.10953568e+00 -2.33129356e+00 -1.06844273e+00 -4.38722253e-01
  2.13677521e+00 -1.30101023e+00 -2.07014353e+00  2.00754716e+00
 -6.47997872e-01  1.57141581e+00 -2.03029740e+00  7.28361392e-01
 -3.29056594e-01 -1.85107891e+00 -6.27454331e-01  2.02528359e-01
 -2.27994154e+00 -1.40208088e+00  1.30249193e+00 -1.00938595e-01
 -1.91670656e+00 -9.59790194e-02]"
